,Storename,ds,yhat,yhat_lower,yhat_upper
0,Gessner,2021-03-11,28.766773836698217,15.89716866336945,42.15593147639048
1,Gessner,2021-03-12,28.054522075877014,15.773171242373241,40.670838768918514
2,Gessner,2021-03-13,27.34227031505581,14.457160135525726,40.06211034476065
3,Gessner,2021-03-14,26.630018554234614,13.547541848132834,39.265077732231234
4,Gessner,2021-03-15,25.917766793413413,12.66712656118424,38.99078071901893
5,Gessner,2021-03-16,25.20551503259221,13.140817058205924,37.36055620681387
6,Gessner,2021-03-17,24.493263271771006,11.751465327330726,38.48078226238017
7,Gessner,2021-03-18,23.781011510949803,10.907607220911972,37.35797817182862
8,Gessner,2021-03-19,23.068759750128603,10.32550034819185,35.95622090378809
