,Storename,ds,yhat,yhat_lower,yhat_upper
0,Lanett,2021-03-11,0.5520892344602348,-4.430402723417781,5.570318430683861
1,Lanett,2021-03-12,-1.0929551087439349,-6.0309430832623026,3.9142369220350113
2,Lanett,2021-03-13,-2.737999451948102,-7.808213388792717,2.105149927228451
3,Lanett,2021-03-14,-4.383043795152272,-9.316575759972489,0.18475492655376116
4,Lanett,2021-03-15,-6.028088138356441,-11.110673551158609,-1.429126099653614
5,Lanett,2021-03-16,-7.673132481560609,-12.514721817010551,-2.451211347997749
6,Lanett,2021-03-17,-9.318176824764778,-14.244304762265264,-4.498016524995796
7,Lanett,2021-03-18,-10.963221167968948,-16.02823994279388,-6.252844702569245
8,Lanett,2021-03-19,-12.608265511173117,-17.663522201132306,-7.38902937815793
