,Storename,ds,yhat,yhat_lower,yhat_upper
0,Nick Plaza,2021-03-11,18.587160341804438,9.777941095813967,28.574875973483834
1,Nick Plaza,2021-03-12,15.66385906464922,6.351484601161218,25.30920850921849
2,Nick Plaza,2021-03-13,12.740557787494001,3.0392257102472366,21.92690322177355
3,Nick Plaza,2021-03-14,9.817256510338783,0.8564177456588461,18.57624774712125
4,Nick Plaza,2021-03-15,6.893955233183564,-2.4334382073605094,16.196507236633185
5,Nick Plaza,2021-03-16,3.9706539560283454,-4.440571877667064,13.516545095626538
6,Nick Plaza,2021-03-17,1.0473526788731267,-8.109252133160428,10.109835575723523
7,Nick Plaza,2021-03-18,-1.8759485982820918,-11.17415740027424,6.980206361618901
8,Nick Plaza,2021-03-19,-4.799249875437311,-13.20431714407638,4.4471392091234
