,Storename,ds,yhat,yhat_lower,yhat_upper
0,Edwin Miller,2021-03-11,0.735633447118598,-3.7406286903880366,5.276391689958832
1,Edwin Miller,2021-03-12,-0.3648939667827795,-4.973017277189693,4.083985361257174
2,Edwin Miller,2021-03-13,-1.4654213806841552,-6.190117247331667,3.265724780253566
3,Edwin Miller,2021-03-14,-2.5659487945855326,-7.36356366541907,2.248994006597993
4,Edwin Miller,2021-03-15,-3.6664762084869102,-8.446798629411173,1.13311942900503
5,Edwin Miller,2021-03-16,-4.767003622388286,-9.55676153156878,0.12395236052185919
6,Edwin Miller,2021-03-17,-5.867531036289663,-10.410897902483443,-1.0611156714851933
7,Edwin Miller,2021-03-18,-6.968058450191041,-11.71838937718316,-2.448661258846778
8,Edwin Miller,2021-03-19,-8.068585864092416,-12.574162851828943,-3.1254693676371113
