,Storename,ds,yhat,yhat_lower,yhat_upper
0,Franklin Park,2021-03-11,7.051780171286776,3.624767797401541,10.313282661347206
1,Franklin Park,2021-03-12,7.084306441968989,3.6905350626073834,10.404986720755517
2,Franklin Park,2021-03-13,7.116832712651202,3.868490466664262,10.579577557862411
3,Franklin Park,2021-03-14,7.149358983333416,3.9527849411388676,10.702145651697645
4,Franklin Park,2021-03-15,7.181885254015628,3.6416100644640412,10.254713521569533
5,Franklin Park,2021-03-16,7.214411524697842,3.8736598453483975,10.50561650745669
6,Franklin Park,2021-03-17,7.246937795380054,4.068153727125492,10.725937071974613
7,Franklin Park,2021-03-18,7.2794640660622685,3.870774082489235,10.557492876669226
8,Franklin Park,2021-03-19,7.311990336744481,4.04910862478506,10.597567904380963
