,Storename,ds,yhat,yhat_lower,yhat_upper
0,Plaza Road,2021-03-11,16.439696264357305,11.706110022440622,21.417752990986674
1,Plaza Road,2021-03-12,15.593151030705327,10.697056616763222,20.49096977732512
2,Plaza Road,2021-03-13,14.746605797053348,9.67521487527894,19.630395970910754
3,Plaza Road,2021-03-14,13.90006056340137,9.152573315152887,18.848852133846325
4,Plaza Road,2021-03-15,13.053515329749391,8.329535155941489,18.35424298407309
5,Plaza Road,2021-03-16,12.206970096097415,7.327678424050256,17.07056655085608
6,Plaza Road,2021-03-17,11.360424862445436,6.041434985907029,16.021888846924565
7,Plaza Road,2021-03-18,10.513879628793457,5.4704272645502,15.483825106728402
8,Plaza Road,2021-03-19,9.667334395141479,4.509671715609823,15.04208372523879
