,Storename,ds,yhat,yhat_lower,yhat_upper
0,Texarkana,2021-03-11,32.60820043063109,18.37964912830179,46.3828803591729
1,Texarkana,2021-03-12,30.798349407796206,17.137307941728796,45.11967736587413
2,Texarkana,2021-03-13,28.988498384961314,15.245329633844262,42.5753289865447
3,Texarkana,2021-03-14,27.178647362126423,13.617248171234895,41.01858282288195
4,Texarkana,2021-03-15,25.36879633929153,10.889285847700865,40.24040197665446
5,Texarkana,2021-03-16,23.55894531645664,9.609576930196132,38.62481484103812
6,Texarkana,2021-03-17,21.74909429362175,7.952407342444552,36.74097855163361
7,Texarkana,2021-03-18,19.939243270786857,5.932889935390362,35.00210313698331
8,Texarkana,2021-03-19,18.129392247951966,4.0161046835029035,33.1742259271623
