,Storename,ds,yhat,yhat_lower,yhat_upper
0,Perry,2021-03-11,16.620225287940922,10.14322667992513,22.847805503874362
1,Perry,2021-03-12,15.789322310402076,9.88418990575729,21.995339283380503
2,Perry,2021-03-13,14.95841933286323,7.910735502409578,20.998024370503916
3,Perry,2021-03-14,14.127516355324383,8.459524555257374,20.219320577300035
4,Perry,2021-03-15,13.296613377785539,7.3738785943300655,19.222293127658457
5,Perry,2021-03-16,12.46571040024669,6.617635589657215,18.77539006189937
6,Perry,2021-03-17,11.634807422707846,5.280626630556623,17.67058511116717
7,Perry,2021-03-18,10.803904445168998,4.5173843229767545,16.75131699512557
8,Perry,2021-03-19,9.973001467630151,4.07179269068998,15.844632397948446
