,Storename,ds,yhat,yhat_lower,yhat_upper
0,N Prospect Ave,2021-03-11,12.662571655797265,7.624956875642046,17.93607883160274
1,N Prospect Ave,2021-03-12,13.262170040880111,8.143466204853965,18.380402126975397
2,N Prospect Ave,2021-03-13,13.861768425962955,8.778802773822296,19.185271631312663
3,N Prospect Ave,2021-03-14,14.461366811045801,9.27349803185378,19.393055879647918
4,N Prospect Ave,2021-03-15,15.060965196128645,10.077176969336765,20.859032582217047
5,N Prospect Ave,2021-03-16,15.660563581211491,10.541612734633324,20.69155537084059
6,N Prospect Ave,2021-03-17,16.260161966294334,10.63407197919232,21.460258600345046
7,N Prospect Ave,2021-03-18,16.859760351377183,11.669651476814362,21.89394691152515
8,N Prospect Ave,2021-03-19,17.459358736460025,12.333590163962574,22.885843842180805
