,Storename,ds,yhat,yhat_lower,yhat_upper
0,Hwy 215,2021-03-11,24.249268332304514,13.706368049244782,34.7224595536063
1,Hwy 215,2021-03-12,23.721734533160234,13.75773074802028,33.74916386326453
2,Hwy 215,2021-03-13,23.194200734015947,13.08666915092783,33.41313859702279
3,Hwy 215,2021-03-14,22.666666934871664,12.815206334447307,33.74769406363252
4,Hwy 215,2021-03-15,22.139133135727384,12.555560989139567,32.78783570906594
5,Hwy 215,2021-03-16,21.6115993365831,11.400416933174059,32.15887512517965
6,Hwy 215,2021-03-17,21.084065537438814,10.775000077683575,31.329033817105298
7,Hwy 215,2021-03-18,20.556531738294535,11.050437766545553,30.322451871888113
8,Hwy 215,2021-03-19,20.02899793915025,10.201855797505502,30.42750108846918
